Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a),,
Capistrano,10a,34,16,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,16,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,16,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,16,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,16,5,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,17,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,17,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,17,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,17,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,17,5,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,18,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,18,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,18,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,18,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,19,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,19,2,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,19,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,20,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,20,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,20,3,8,1,6,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,21,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,21,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,22,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,22,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,22,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,22,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,22,5,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,23,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,23,2,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,24,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,24,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,24,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,24,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,24,5,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10b,36,1,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,1,2,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,1,3,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
